No,X1 transaction year,X2,X3 Distance MRT station (in meters),X4 Number of convenience stores,Y house price of unit area (NT$/ping),House price (usd/ping),House price (usd/m^2)
357,2012,10.3,211.4473,1,45.3,14722.5,4461.363636
368,2012,15,1828.319,2,20.9,6792.5,2058.333333
387,2012,0,185.4296,0,55.3,17972.5,5446.212121
403,2012,12.7,187.4823,1,28.5,9262.5,2806.818182
13,2012,13,492.2313,5,39.3,12772.5,3870.454545
23,2012,14.7,1360.139,1,24.6,7995,2422.727273
37,2012,14.7,1935.009,2,22.9,7442.5,2255.30303
58,2012,3.5,56.47425,7,53.5,17387.5,5268.939394
63,2012,17.2,2175.877,3,27.7,9002.5,2728.030303
75,2012,6.8,379.5575,10,54.4,17680,5357.575758
79,2012,38.2,552.4371,2,29.8,9685,2934.848485
84,2012,25.3,2707.392,3,17.7,5752.5,1743.181818
89,2012,8.9,1406.43,0,48,15600,4727.272727
93,2012,20.6,2469.645,4,21.8,7085,2146.969697
94,2012,31.9,1146.329,0,16.1,5232.5,1585.606061
95,2012,40.9,167.5989,5,41,13325,4037.878788
96,2012,8,104.8101,5,51.8,16835,5101.515152
125,2012,9.9,279.1726,7,57.4,18655,5653.030303
136,2012,18.9,1009.235,0,20.8,6760,2048.484848
146,2012,2.1,451.2438,5,45.5,14787.5,4481.060606
161,2012,3.5,49.66105,8,57.8,18785,5692.424242
166,2012,13.7,1236.564,1,30.6,9945,3013.636364
189,2012,34.8,190.0392,8,44.3,14397.5,4362.878788
190,2012,16.3,4066.587,0,20.5,6662.5,2018.939394
203,2012,38.3,642.6985,3,31.5,10237.5,3102.272727
218,2012,28,372.6242,6,40.8,13260,4018.181818
228,2012,32.4,265.0609,8,40.2,13065,3959.090909
233,2012,27.1,4412.765,1,17.4,5655,1713.636364
252,2012,31.7,1159.454,0,13.8,4485,1359.090909
263,2012,15.9,289.3248,5,53,17225,5219.69697
272,2012,17.7,451.6419,8,26.5,8612.5,2609.848485
283,2012,2,1455.798,1,25.6,8320,2521.212121
285,2012,15,383.2805,7,34.4,11180,3387.878788
287,2012,5.9,90.45606,9,56.3,18297.5,5544.69697
322,2012,16.9,964.7496,4,37.7,12252.5,3712.878788
335,2012,30,1013.341,5,22.8,7410,2245.454545
339,2012,31.5,258.186,9,36.3,11797.5,3575
366,2012,17.3,2261.432,4,29.5,9587.5,2905.30303
396,2012,21.2,512.5487,4,42.5,13812.5,4185.606061
400,2012,12.7,170.1289,1,37.3,12122.5,3673.484848
3,2013,13.3,561.9845,5,47.3,15372.5,4658.333333
25,2013,39.6,480.6977,4,38.8,12610,3821.212121
41,2013,13.6,4082.015,0,15.9,5167.5,1565.909091
67,2013,1,193.5845,6,50.7,16477.5,4993.181818
80,2013,18,1414.837,1,26.5,8612.5,2609.848485
82,2013,30.8,377.7956,6,36.8,11960,3624.242424
117,2013,30.9,6396.283,1,12.2,3965,1201.515152
118,2013,13.6,4197.349,0,13,4225,1280.30303
159,2013,11.6,390.5684,5,39.4,12805,3880.30303
188,2013,8.9,3078.176,0,22,7150,2166.666667
197,2013,22.8,707.9067,2,36.6,11895,3604.545455
205,2013,18,1414.837,1,26.6,8645,2619.69697
227,2013,16.5,4082.015,0,12.8,4160,1260.606061
249,2013,19,1009.235,0,22.3,7247.5,2196.212121
270,2013,17.6,837.7233,0,23,7475,2265.151515
277,2013,19.1,461.1016,5,34,11050,3348.484848
288,2013,19.2,461.1016,5,32.9,10692.5,3240.151515
323,2013,12.9,187.4823,1,33.1,10757.5,3259.848485
330,2013,13.6,4197.349,0,19.2,6240,1890.909091
342,2013,13,750.0704,2,37,12025,3643.939394
344,2013,33.5,563.2854,8,46.6,15145,4589.393939
351,2013,13.2,492.2313,5,42.3,13747.5,4165.909091
373,2013,33.9,157.6052,7,41.5,13487.5,4087.121212
383,2013,16.3,3529.564,0,29.3,9522.5,2885.606061
386,2013,18.3,82.88643,10,46.6,15145,4589.393939
394,2013,16.9,967.4,4,40.3,13097.5,3968.939394
408,2013,5.2,2408.993,0,22.3,7247.5,2196.212121
410,2013,13.7,4082.015,0,15.4,5005,1516.666667
413,2013,8.1,104.8101,5,52.5,17062.5,5170.454545
11,2013,34.8,405.2134,1,41.4,13455,4077.272727
24,2013,10.1,279.1726,7,47.9,15567.5,4717.424242
26,2013,29.3,1487.868,2,27,8775,2659.090909
30,2013,7.1,451.2438,5,57.1,18557.5,5623.484848
46,2013,36.6,488.8193,8,38.3,12447.5,3771.969697
52,2013,31.3,1758.406,1,20.7,6727.5,2038.636364
54,2013,13.3,492.2313,5,38.9,12642.5,3831.060606
55,2013,16.1,289.3248,5,51.7,16802.5,5091.666667
60,2013,13.3,336.0532,5,42.4,13780,4175.757576
72,2013,35.5,640.7391,3,40.8,13260,4018.181818
83,2013,13.2,150.9347,7,48.1,15632.5,4737.121212
85,2013,15.1,383.2805,7,43.7,14202.5,4303.787879
98,2013,28.4,617.4424,3,34.6,11245,3407.575758
103,2013,1.1,193.5845,6,54.4,17680,5357.575758
107,2013,17.2,189.5181,8,47.1,15307.5,4638.636364
111,2013,8.1,104.8101,5,51.6,16770,5081.818182
116,2013,20.6,737.9161,2,46.4,15080,4569.69697
127,2013,38.6,804.6897,4,62.9,20442.5,6194.69697
129,2013,41.3,124.9912,6,60.7,19727.5,5978.030303
145,2013,11.9,1360.139,1,28.4,9230,2796.969697
169,2013,27.6,515.1122,5,37.4,12155,3683.333333
172,2013,3.6,383.8624,5,58.8,19110,5790.909091
174,2013,41.3,401.8807,4,35.1,11407.5,3456.818182
176,2013,30.2,472.1745,3,36.5,11862.5,3594.69697
178,2013,33,181.0766,9,42,13650,4136.363636
180,2013,14,438.8513,1,42.6,13845,4195.454545
199,2013,34,157.6052,7,39.1,12707.5,3850.757576
206,2013,12.8,1449.722,3,21.4,6955,2107.575758
208,2013,38.5,665.0636,3,34.2,11115,3368.181818
212,2013,0,274.0144,1,43.5,14137.5,4284.090909
214,2013,6.2,90.45606,9,58,18850,5712.121212
239,2013,12.8,732.8528,0,40.6,13195,3998.484848
241,2013,11,1712.632,2,28.8,9360,2836.363636
245,2013,4.8,1559.827,3,21.7,7052.5,2137.121212
260,2013,17.7,837.7233,0,28.8,9360,2836.363636
291,2013,37.7,490.3446,0,37,12025,3643.939394
293,2013,17.5,395.6747,5,24.5,7962.5,2412.878788
301,2013,2.5,156.2442,4,36.9,11992.5,3634.090909
306,2013,16.2,289.3248,5,55,17875,5416.666667
316,2013,15.6,1756.411,2,27.3,8872.5,2688.636364
326,2013,36.6,488.8193,8,38.1,12382.5,3752.272727
331,2013,32,1156.777,0,12.8,4160,1260.606061
362,2013,41.4,281.205,8,63.3,20572.5,6234.090909
374,2013,0,274.0144,1,52.2,16965,5140.909091
393,2013,42.7,443.802,6,35.3,11472.5,3476.515152
402,2013,7.6,2175.03,3,27.7,9002.5,2728.030303
38,2013,12,1360.139,1,25.3,8222.5,2491.666667
40,2013,16.2,289.3248,5,46.2,15015,4550
74,2013,13.8,4082.015,0,20,6500,1969.69697
121,2013,13.3,492.2313,5,31.3,10172.5,3082.575758
126,2013,1.1,193.5845,6,48.6,15795,4786.363636
133,2013,26.6,482.7581,5,37.5,12187.5,3693.181818
139,2013,10,942.4664,0,43.5,14137.5,4284.090909
156,2013,13.8,4082.015,0,15.6,5070,1536.363636
182,2013,11.6,201.8939,8,55.9,18167.5,5505.30303
187,2013,20.9,2185.128,3,25.7,8352.5,2531.060606
192,2013,13.2,750.0704,2,37.8,12285,3722.727273
193,2013,43.8,57.58945,7,42.7,13877.5,4205.30303
237,2013,3.6,373.8389,10,61.9,20117.5,6096.212121
238,2013,13,732.8528,0,39,12675,3840.909091
251,2013,39.2,424.7132,7,30,9750,2954.545455
262,2013,16.2,2288.011,3,24.4,7930,2403.030303
265,2013,32.6,493.657,7,40.6,13195,3998.484848
275,2013,27.5,394.0173,7,41,13325,4037.878788
286,2013,30.1,718.2937,3,55.3,17972.5,5446.212121
296,2013,18.2,2179.59,3,21.8,7085,2146.969697
300,2013,33.2,121.7262,10,46.1,14982.5,4540.151515
312,2013,21.3,537.7971,4,42.2,13715,4156.060606
333,2013,39.8,617.7134,2,39.6,12870,3900
359,2013,1.1,193.5845,6,45.1,14657.5,4441.666667
407,2013,1.9,372.1386,7,40.5,13162.5,3988.636364
17,2013,0,292.9978,6,70.1,22782.5,6903.787879
28,2013,10.4,276.449,5,33.6,10920,3309.090909
34,2013,16.5,323.655,6,49.3,16022.5,4855.30303
92,2013,9.1,1402.016,0,43.2,14040,4254.545455
123,2013,31.5,414.9476,4,32.5,10562.5,3200.757576
128,2013,3.8,383.8624,5,55,17875,5416.666667
131,2013,29.6,535.527,8,37.5,12187.5,3693.181818
141,2013,16.2,289.3248,5,51.4,16705,5062.121212
151,2013,35.8,170.7311,7,48.5,15762.5,4776.515152
154,2013,6.5,376.1709,6,40.9,13292.5,4028.030303
158,2013,16.1,815.9314,4,35.6,11570,3506.060606
198,2013,34.4,126.7286,8,48.2,15665,4746.969697
207,2013,22.2,379.5575,10,44,14300,4333.333333
217,2013,37.8,590.9292,1,39.7,12902.5,3909.848485
224,2013,9.1,1402.016,0,42.3,13747.5,4165.909091
226,2013,1.1,193.5845,6,49,15925,4825.757576
235,2013,8,2216.612,4,23.9,7767.5,2353.787879
258,2013,17.3,444.1334,1,43.9,14267.5,4323.484848
261,2013,17,1485.097,4,30.7,9977.5,3023.484848
267,2013,17.8,1783.18,3,23.7,7702.5,2334.090909
281,2013,2.3,184.3302,6,45.4,14755,4471.212121
310,2013,30.3,1264.73,0,19.1,6207.5,1881.060606
315,2013,3.7,577.9615,6,41.6,13520,4096.969697
317,2013,13.3,250.631,7,42,13650,4136.363636
320,2013,34.6,272.6783,5,26.9,8742.5,2649.242424
356,2013,3.8,383.8624,5,60.7,19727.5,5978.030303
375,2013,5.4,390.5684,5,49.5,16087.5,4875
376,2013,21.7,1157.988,0,23.8,7735,2343.939394
388,2013,16.2,2103.555,3,25.6,8320,2521.212121
390,2013,40.9,122.3619,8,67.7,22002.5,6667.424242
401,2013,26.8,482.7581,5,35.5,11537.5,3496.212121
412,2013,18.8,390.9696,7,40.6,13195,3998.484848
12,2013,6.3,90.45606,9,58.1,18882.5,5721.969697
65,2013,17.5,995.7554,0,25.3,8222.5,2491.666667
108,2013,12.2,1360.139,1,26.6,8645,2619.69697
114,2013,14.8,393.2606,6,7.6,2470,748.4848485
142,2013,5.1,1559.827,3,28.9,9392.5,2846.212121
153,2013,12,1360.139,1,28.9,9392.5,2846.212121
171,2013,24,4527.687,0,14.4,4680,1418.181818
196,2013,15.2,461.1016,5,34.6,11245,3407.575758
213,2013,17.6,1805.665,2,31.1,10107.5,3062.878788
216,2013,19.2,383.7129,8,48.1,15632.5,4737.121212
221,2013,37.2,186.5101,9,78.3,25447.5,7711.363636
222,2013,9,1402.016,0,38.5,12512.5,3791.666667
225,2013,34.5,324.9419,6,46,14950,4530.30303
234,2013,39.7,333.3679,9,32.4,10530,3190.909091
248,2013,21.7,1055.067,0,23.1,7507.5,2275
271,2013,10.8,252.5822,1,117.5,38187.5,11571.9697
282,2013,4.7,387.7721,9,44.8,14560,4412.121212
290,2013,13.9,289.3248,5,44.5,14462.5,4382.575758
299,2013,16.7,4082.015,0,16.7,5427.5,1644.69697
314,2013,8.3,104.8101,5,42.8,13910,4215.151515
319,2013,7.1,379.5575,10,49.8,16185,4904.545455
332,2013,25.6,4519.69,0,15.6,5070,1536.363636
340,2013,1.7,329.9747,5,50.4,16380,4963.636364
341,2013,33.6,270.8895,0,42.9,13942.5,4225
378,2013,3.9,49.66105,8,56.8,18460,5593.939394
379,2013,37.3,587.8877,8,37.4,12155,3683.333333
380,2013,0,292.9978,6,69.7,22652.5,6864.393939
381,2013,14.1,289.3248,5,53.3,17322.5,5249.242424
405,2013,16.4,289.3248,5,41.2,13390,4057.575758
8,2013,20.3,287.6025,6,46.7,15177.5,4599.242424
10,2013,17.9,1783.18,3,22.1,7182.5,2176.515152
19,2013,16.9,368.1363,8,42.3,13747.5,4165.909091
21,2013,4.5,2275.877,3,29.3,9522.5,2885.606061
22,2013,10.5,279.1726,7,51.6,16770,5081.818182
43,2013,36.1,519.4617,5,34.7,11277.5,3417.424242
47,2013,21.7,463.9623,9,42,13650,4136.363636
49,2013,24.2,4605.749,0,13.4,4355,1319.69697
51,2013,21.7,512.5487,4,44.2,14365,4353.030303
57,2013,33.6,371.2495,8,41.9,13617.5,4126.515152
61,2013,11,1931.207,2,21.3,6922.5,2097.727273
66,2013,40.1,123.7429,8,44.3,14397.5,4362.878788
69,2013,30.4,464.223,6,36.2,11765,3565.151515
97,2013,6.4,90.45606,9,59.5,19337.5,5859.848485
99,2013,16.4,289.3248,5,51,16575,5022.727273
100,2013,6.4,90.45606,9,62.2,20215,6125.757576
109,2013,31.4,592.5006,2,34.1,11082.5,3358.333333
113,2013,9.9,2102.427,3,23.1,7507.5,2275
124,2013,0,185.4296,0,45.5,14787.5,4481.060606
130,2013,38.5,216.8329,7,41,13325,4037.878788
143,2013,19.8,640.6071,5,37.5,12187.5,3693.181818
162,2013,19.2,616.4004,3,39.6,12870,3900
167,2013,0,292.9978,6,73.6,23920,7248.484848
168,2013,28.2,330.0854,8,43.4,14105,4274.242424
170,2013,8.4,1962.628,1,23.5,7637.5,2314.393939
175,2013,4.3,432.0385,7,45.2,14690,4451.515152
194,2013,9.7,421.479,5,49.3,16022.5,4855.30303
200,2013,18.2,451.6419,8,31.6,10270,3112.121212
201,2013,17.4,995.7554,0,25.5,8287.5,2511.363636
202,2013,13.1,561.9845,5,45.9,14917.5,4520.454545
219,2013,13.6,492.2313,5,43.8,14235,4313.636364
229,2013,11.9,3171.329,0,46.6,15145,4589.393939
244,2013,32.8,204.1705,8,48.2,15665,4746.969697
246,2013,7.5,639.6198,5,40.8,13260,4018.181818
247,2013,16.4,389.8219,6,40.6,13195,3998.484848
256,2013,31.5,5512.038,1,17.4,5655,1713.636364
259,2013,0,292.9978,6,63.3,20572.5,6234.090909
264,2013,3.9,2147.376,3,31.7,10302.5,3121.969697
269,2013,17.2,390.5684,5,40.1,13032.5,3949.242424
274,2013,13.2,170.1289,1,29.3,9522.5,2885.606061
278,2013,21.2,2185.128,3,27.7,9002.5,2728.030303
280,2013,2.6,1554.25,3,31.1,10107.5,3062.878788
284,2013,33.5,1978.671,2,23.5,7637.5,2314.393939
305,2013,20,1626.083,3,29.4,9555,2895.454545
309,2013,16.4,289.3248,5,53,17225,5219.69697
324,2013,28.6,197.1338,6,42.5,13812.5,4185.606061
328,2013,3.5,757.3377,3,36.7,11927.5,3614.393939
347,2013,13.2,1712.632,2,30.8,10010,3033.333333
355,2013,12.2,1360.139,1,30.1,9782.5,2964.393939
358,2013,0,338.9679,9,44.9,14592.5,4421.969697
363,2013,17.1,967.4,4,40,13000,3939.393939
365,2013,35.3,614.1394,7,33.1,10757.5,3259.848485
369,2013,18.2,350.8515,1,43.1,14007.5,4244.69697
377,2013,14.7,1717.193,2,30.5,9912.5,3003.787879
382,2013,8,132.5469,9,47.3,15372.5,4658.333333
398,2013,13.1,1164.838,4,32.2,10465,3171.212121
399,2013,14.7,1717.193,2,23,7475,2265.151515
409,2013,18.5,2175.744,3,28.1,9132.5,2767.424242
4,2013,13.3,561.9845,5,54.8,17810,5396.969697
9,2013,31.7,5512.038,1,18.8,6110,1851.515152
15,2013,13.2,1164.838,4,34.3,11147.5,3378.030303
29,2013,19.2,557.478,4,47,15275,4628.787879
31,2013,25.9,4519.69,0,22.1,7182.5,2176.515152
36,2013,13.9,4079.418,0,27.3,8872.5,2688.636364
42,2013,16.8,4066.587,0,18.2,5915,1792.424242
59,2013,30.3,4510.359,1,22.6,7345,2225.757576
62,2013,5.3,259.6607,6,63.2,20540,6224.242424
68,2013,8.5,104.8101,5,56.8,18460,5593.939394
76,2013,12.3,1360.139,1,29.5,9587.5,2905.30303
81,2013,11.8,533.4762,4,40.3,13097.5,3968.939394
90,2013,23,3947.945,0,25.3,8222.5,2491.666667
101,2013,17.5,964.7496,4,38.2,12415,3762.121212
119,2013,25.3,1583.722,3,30.6,9945,3013.636364
120,2013,16.6,289.3248,5,59.6,19370,5869.69697
122,2013,13.6,492.2313,5,48,15600,4727.272727
132,2013,4,2147.376,3,30.7,9977.5,3023.484848
138,2013,13.6,319.0708,6,47.4,15405,4668.181818
144,2013,13.6,492.2313,5,40.1,13032.5,3949.242424
149,2013,16.4,3780.59,0,45.1,14657.5,4441.666667
152,2013,4.9,387.7721,9,44.7,14527.5,4402.272727
155,2013,16.9,4066.587,0,20.7,6727.5,2038.636364
164,2013,8.5,104.8101,5,55.5,18037.5,5465.909091
179,2013,13.1,1144.436,4,36.7,11927.5,3614.393939
183,2013,13.5,2147.376,3,23.6,7670,2324.242424
184,2013,17,4082.015,0,18.8,6110,1851.515152
191,2013,35.3,616.5735,8,42.3,13747.5,4165.909091
195,2013,15.2,3771.895,0,29.3,9522.5,2885.606061
211,2013,5.2,390.5684,5,52.2,16965,5140.909091
231,2013,4,2147.376,3,33.4,10855,3289.393939
240,2013,18.1,837.7233,0,29.7,9652.5,2925
242,2013,13.7,250.631,7,41.4,13455,4077.272727
295,2013,26.4,335.5273,6,38.1,12382.5,3752.272727
303,2013,16.5,2288.011,3,23.2,7540,2284.848485
304,2013,38.3,439.7105,0,38.4,12480,3781.818182
307,2013,14.4,169.9803,1,50.2,16315,4943.939394
327,2013,4.1,56.47425,7,62.1,20182.5,6115.909091
345,2013,34.6,3085.17,0,41.2,13390,4057.575758
354,2013,4.1,2147.376,3,31.3,10172.5,3082.575758
360,2013,5.6,2408.993,0,24.7,8027.5,2432.575758
364,2013,32.3,109.9455,10,48,15600,4727.272727
372,2013,4.1,312.8963,5,51.7,16802.5,5091.666667
389,2013,10.4,2251.938,4,27.3,8872.5,2688.636364
391,2013,32.8,377.8302,9,38.6,12545,3801.515152
395,2013,32.6,4136.271,1,24.7,8027.5,2432.575758
414,2013,6.5,90.45606,9,63.9,20767.5,6293.181818
16,2013,35.7,579.2083,2,50.5,16412.5,4973.484848
45,2013,2.7,533.4762,4,53.9,17517.5,5308.333333
48,2013,35.9,640.7391,3,61.5,19987.5,6056.818182
53,2013,32.1,1438.579,3,27,8775,2659.090909
64,2013,2.6,533.4762,4,55,17875,5416.666667
71,2013,6.6,90.45606,9,59,19175,5810.606061
73,2013,32.5,424.5442,8,36.3,11797.5,3575
77,2013,35.9,616.4004,3,36.8,11960,3624.242424
88,2013,16.9,4066.587,0,18.3,5947.5,1802.272727
110,2013,4,2147.376,3,28.4,9230,2796.969697
112,2013,33.3,196.6172,7,39.4,12805,3880.30303
157,2013,30.7,1264.73,0,18.3,5947.5,1802.272727
173,2013,6.6,90.45606,9,58.1,18882.5,5721.969697
215,2013,18.1,1783.18,3,20.9,6792.5,2058.333333
223,2013,30.6,431.1114,10,48.5,15762.5,4776.515152
230,2013,31,1156.412,0,19,6175,1871.212121
289,2013,16.6,323.6912,6,51,16575,5022.727273
311,2013,16.4,1643.499,2,24.7,8027.5,2432.575758
313,2013,35.4,318.5292,9,78,25350,7681.818182
336,2013,27.3,337.6016,6,36.5,11862.5,3594.69697
348,2013,17.4,6488.021,1,11.2,3640,1103.030303
392,2013,6.2,1939.749,1,31.3,10172.5,3082.575758
,,,,,,,
Source: http://archive.ics.uci.edu/ml/datasets/Real+estate+valuation+data+set,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,3575.468975,,
,,,,,3812.663089,,
